ecosystem,name,version,license,repository
"npm","fill-range","7.1.1","MIT","https://github.com/jonschlinkert/fill-range"
"npm","fractional-indexing","3.2.0","CC0-1.0","https://github.com/rocicorp/fractional-indexing"
"npm","fsevents","2.3.3","MIT","https://github.com/fsevents/fsevents"
"npm","fuzzy","0.1.3","MIT","https://github.com/mattyork/fuzzy"
"npm","get-nonce","1.0.1","MIT","https://github.com/theKashey/get-nonce"
"npm","glob-parent","5.1.2","ISC","https://github.com/gulpjs/glob-parent"
"npm","glur","1.1.2","MIT","https://github.com/nodeca/glur"
"npm","hachure-fill","0.5.2","MIT","https://github.com/pshihn/hachure-fill"
"npm","hast-util-to-html","9.0.5","MIT","https://github.com/syntax-tree/hast-util-to-html"
"npm","hast-util-whitespace","3.0.0","MIT","https://github.com/syntax-tree/hast-util-whitespace"
"npm","highlight.js","11.11.1","BSD-3-Clause","https://github.com/highlightjs/highlight.js"
"npm","html-void-elements","3.0.0","MIT","https://github.com/wooorm/html-void-elements"
"npm","html2canvas","1.4.1","MIT","https://github.com/niklasvh/html2canvas"
"npm","html2pdf.js","0.14.0","MIT","https://github.com/eKoopmans/html2pdf.js"
"npm","iconv-lite","0.6.3","MIT","https://github.com/ashtuchkin/iconv-lite"
"npm","image-blob-reduce","3.0.1","MIT","https://github.com/nodeca/image-blob-reduce"
"npm","immutable","4.3.8","MIT","https://github.com/immutable-js/immutable-js"
"npm","import-meta-resolve","4.2.0","MIT","https://github.com/wooorm/import-meta-resolve"
"npm","inherits","2.0.4","ISC","https://github.com/isaacs/inherits"
"npm","internmap","1.0.1","ISC","https://github.com/mbostock/internmap"
"npm","internmap","2.0.3","ISC","https://github.com/mbostock/internmap"
"npm","iobuffer","5.4.0","MIT","https://github.com/image-js/iobuffer"
"npm","is-binary-path","2.1.0","MIT","https://github.com/sindresorhus/is-binary-path"
"npm","is-extglob","2.1.1","MIT","https://github.com/jonschlinkert/is-extglob"
"npm","is-glob","4.0.3","MIT","https://github.com/micromatch/is-glob"
"npm","is-number","7.0.0","MIT","https://github.com/jonschlinkert/is-number"
"npm","isexe","2.0.0","ISC","https://github.com/isaacs/isexe"
"npm","jotai-scope","0.7.2","MIT","https://github.com/jotaijs/jotai-scope"
"npm","jotai","2.11.0","MIT","https://github.com/pmndrs/jotai"
"npm","js-tokens","4.0.0","MIT","https://github.com/lydell/js-tokens"
"npm","js-yaml","4.2.0","MIT","https://github.com/nodeca/js-yaml"
"npm","jspdf","4.2.1","MIT","https://github.com/parallax/jsPDF"
"npm","katex","0.16.47","MIT","https://github.com/KaTeX/KaTeX"
"npm","khroma","2.1.0","MIT*","https://github.com/fabiospampinato/khroma"
"npm","kleur","4.1.5","MIT","https://github.com/lukeed/kleur"
"npm","langium","3.3.1","MIT","https://github.com/eclipse-langium/langium"
"npm","layout-base","1.0.2","MIT","https://github.com/iVis-at-Bilkent/layout-base"
"npm","layout-base","2.0.1","MIT","https://github.com/iVis-at-Bilkent/layout-base"
"npm","linkify-it","5.0.1","MIT","https://github.com/markdown-it/linkify-it"
"npm","linkifyjs","4.3.3","MIT","https://github.com/nfrasser/linkifyjs"
"npm","lodash-es","4.17.21","MIT","https://github.com/lodash/lodash"
"npm","lodash-es","4.18.1","MIT","https://github.com/lodash/lodash"
